id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,city_code,region_code,center_type,op_area,category,cuisine
1212128,1,52,1885,134.89,132.89,0,0,877,685,56,TYPE_B,5.6,Beverages,Thai
1025678,1,52,1993,132.89,134.89,0,0,690,685,56,TYPE_B,5.6,Beverages,Thai
1411268,1,52,2539,135.86,134.86,0,0,500,685,56,TYPE_B,5.6,Beverages,Thai
1447861,1,52,2139,340.5,437.53,0,0,121,685,56,TYPE_B,5.6,Beverages,Indian
1057386,1,52,2631,252.23,251.23,0,0,80,685,56,TYPE_B,5.6,Beverages,Indian
1393327,1,52,1248,247.35,247.35,0,0,81,685,56,TYPE_B,5.6,Beverages,Indian
1257414,1,52,1778,180.45,180.45,0,0,634,685,56,TYPE_B,5.6,Beverages,Italian
1483927,1,52,1062,184.33,184.33,0,0,485,685,56,TYPE_B,5.6,Beverages,Italian
1283555,1,52,2707,191.15,190.15,0,0,1283,685,56,TYPE_B,5.6,Beverages,Italian
1053097,1,52,1207,322.07,384.18,0,0,162,685,56,TYPE_B,5.6,Beverages,Continental
1438933,1,52,1230,313.31,376.39,0,0,258,685,56,TYPE_B,5.6,Beverages,Continental
1062683,1,52,2322,323.04,374.45,0,0,256,685,56,TYPE_B,5.6,Beverages,Continental
1351805,1,52,2290,281.33,282.33,0,0,715,685,56,TYPE_B,5.6,Rice Bowl,Indian
1386206,1,52,1727,414.22,413.22,0,0,379,685,56,TYPE_B,5.6,Rice Bowl,Indian
1134661,1,52,1109,249.29,281.36,1,0,2902,685,56,TYPE_B,5.6,Rice Bowl,Indian
1492861,1,52,2577,282.33,281.33,0,0,392,685,56,TYPE_B,5.6,Starters,Thai
1374217,1,52,2640,282.33,281.33,0,0,285,685,56,TYPE_B,5.6,Starters,Thai
1000432,1,52,1878,280.33,282.33,0,0,121,685,56,TYPE_B,5.6,Starters,Thai
1027204,1,52,2306,242.5,339.53,0,1,553,685,56,TYPE_B,5.6,Pasta,Italian
1053195,1,52,1216,455.93,455.93,0,1,54,685,56,TYPE_B,5.6,Pasta,Italian
1234809,1,52,2126,486.0,533.53,0,1,54,685,56,TYPE_B,5.6,Pasta,Italian
1402563,1,52,2826,311.43,310.43,0,0,701,685,56,TYPE_B,5.6,Sandwich,Italian
1109500,1,52,1754,274.57,272.57,0,0,662,685,56,TYPE_B,5.6,Sandwich,Italian
1283719,1,52,1971,260.99,322.04,1,0,296,685,56,TYPE_B,5.6,Sandwich,Italian
1199336,1,52,1902,399.67,447.23,0,0,69,685,56,TYPE_B,5.6,Biryani,Indian
1182329,1,52,1247,389.03,446.23,0,0,94,685,56,TYPE_B,5.6,Biryani,Indian
1069767,1,52,1770,339.53,485.03,0,0,82,685,56,TYPE_B,5.6,Biryani,Indian
1196240,1,52,1198,129.04,195.0,0,0,69,685,56,TYPE_B,5.6,Extras,Thai
1435209,1,52,1311,167.87,167.87,0,0,1067,685,56,TYPE_B,5.6,Extras,Thai
1065930,1,52,1803,164.93,165.93,0,0,1012,685,56,TYPE_B,5.6,Extras,Thai
1227989,1,52,1438,244.5,270.63,0,0,148,685,56,TYPE_B,5.6,Soup,Thai
1138731,1,52,2494,242.5,272.63,0,0,123,685,56,TYPE_B,5.6,Soup,Thai
1049758,1,52,1847,244.5,270.63,0,0,82,685,56,TYPE_B,5.6,Soup,Thai
1078502,1,52,1558,583.03,610.13,1,0,216,685,56,TYPE_B,5.6,Pizza,Continental
1344728,1,52,2581,583.03,611.13,1,1,446,685,56,TYPE_B,5.6,Pizza,Continental
1101172,1,52,1962,583.94,612.13,1,1,636,685,56,TYPE_B,5.6,Pizza,Continental
1442300,1,52,1445,628.62,628.62,0,0,150,685,56,TYPE_B,5.6,Seafood,Continental
1057552,1,52,2444,637.29,639.29,0,0,109,685,56,TYPE_B,5.6,Seafood,Continental
1159377,1,52,2867,627.62,627.62,0,0,81,685,56,TYPE_B,5.6,Seafood,Continental
1320379,1,52,2760,243.53,243.53,0,0,176,685,56,TYPE_B,5.6,Other Snacks,Thai
1349745,1,52,1525,245.44,280.33,0,0,688,685,56,TYPE_B,5.6,Other Snacks,Thai
1221716,1,52,2704,244.5,282.33,0,0,270,685,56,TYPE_B,5.6,Other Snacks,Thai
1337897,1,52,2492,387.03,388.03,0,0,69,685,56,TYPE_B,5.6,Desert,Indian
1474343,1,52,1543,486.03,484.03,0,0,190,685,56,TYPE_B,5.6,Desert,Indian
1301046,1,52,2304,486.03,485.03,0,0,135,685,56,TYPE_B,5.6,Desert,Indian
1274455,2,52,1885,134.86,135.86,0,0,878,685,56,TYPE_B,5.6,Beverages,Thai
