id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,city_code,region_code,center_type,op_area,category,cuisine
1317222,1,104,1885,133.86,134.86,0,1,904.0,647,56,TYPE_A,4.5,Beverages,Thai
1093025,1,104,1993,133.86,133.89,0,1,273.86570932617957,647,56,TYPE_A,4.5,Beverages,Thai
1047622,1,104,2539,133.86,134.86,0,0,231.0,647,56,TYPE_A,4.5,Beverages,Thai
1105086,1,104,2139,339.5,435.53,0,0,67.0,647,56,TYPE_A,4.5,Beverages,Indian
1004422,1,104,2631,249.35,247.35,0,0,94.0,647,56,TYPE_A,4.5,Beverages,Indian
1422074,1,104,1248,247.41,247.41,0,0,54.0,647,56,TYPE_A,4.5,Beverages,Indian
1076346,1,104,1778,181.39,182.39,0,0,676.0,647,56,TYPE_A,4.5,Beverages,Italian
1392677,1,104,1062,180.42,180.42,0,0,769.0,647,56,TYPE_A,4.5,Beverages,Italian
1068047,1,104,2707,190.12,192.12,0,0,1014.0,647,56,TYPE_A,4.5,Beverages,Italian
1058871,1,104,1207,323.04,388.06,0,0,513.0,647,56,TYPE_A,4.5,Beverages,Continental
1310670,1,104,1230,321.13,389.03,0,0,566.0,647,56,TYPE_A,4.5,Beverages,Continental
1338592,1,104,2322,322.04,386.12,0,0,567.0,647,56,TYPE_A,4.5,Beverages,Continental
1397594,1,104,2290,283.24,311.43,0,1,649.0,647,56,TYPE_A,4.5,Rice Bowl,Indian
1455761,1,104,1727,417.16,435.53,0,1,717.0,647,56,TYPE_A,4.5,Rice Bowl,Indian
1285822,1,104,1109,223.16,285.18,1,0,273.86570932617957,647,56,TYPE_A,4.5,Rice Bowl,Indian
1372188,1,104,2577,280.33,282.33,0,0,54.0,647,56,TYPE_A,4.5,Starters,Thai
1117921,1,104,2640,282.33,281.33,0,0,94.0,647,56,TYPE_A,4.5,Starters,Thai
1162474,1,104,1878,281.33,281.33,0,0,42.0,647,56,TYPE_A,4.5,Starters,Thai
1449102,1,104,2306,244.5,339.53,0,0,40.0,647,56,TYPE_A,4.5,Pasta,Italian
1096888,1,104,1216,455.93,456.93,0,0,68.0,647,56,TYPE_A,4.5,Pasta,Italian
1019347,1,104,2126,486.0,534.53,0,1,27.0,647,56,TYPE_A,4.5,Pasta,Italian
1389202,1,104,2826,340.53,339.53,0,0,420.0,647,56,TYPE_A,4.5,Sandwich,Italian
1381233,1,104,1754,290.03,291.03,0,0,555.0,647,56,TYPE_A,4.5,Sandwich,Italian
1290131,1,104,1971,259.96,329.86,1,0,716.0,647,56,TYPE_A,4.5,Sandwich,Italian
1404600,1,104,1902,388.03,445.23,0,0,67.0,647,56,TYPE_A,4.5,Biryani,Indian
1309698,1,104,1247,388.03,447.23,0,0,41.0,647,56,TYPE_A,4.5,Biryani,Indian
1029316,1,104,1770,338.53,485.03,0,0,69.0,647,56,TYPE_A,4.5,Biryani,Indian
1362807,1,104,1198,164.93,165.93,0,0,474.0,647,56,TYPE_A,4.5,Extras,Thai
1410068,1,104,1311,164.9,166.9,0,0,418.0,647,56,TYPE_A,4.5,Extras,Thai
1317020,1,104,1803,163.93,164.93,0,0,527.0,647,56,TYPE_A,4.5,Extras,Thai
1140046,1,104,1847,243.5,243.5,0,0,13.0,647,56,TYPE_A,4.5,Soup,Thai
1358675,1,104,1558,581.03,612.13,1,0,109.0,647,56,TYPE_A,4.5,Pizza,Continental
1420270,1,104,2581,582.03,610.13,1,1,203.0,647,56,TYPE_A,4.5,Pizza,Continental
1477847,1,104,1962,582.03,610.13,1,1,432.0,647,56,TYPE_A,4.5,Pizza,Continental
1300430,1,104,1445,626.62,627.62,0,0,95.0,647,56,TYPE_A,4.5,Seafood,Continental
1459318,1,104,2444,628.62,628.62,0,0,94.0,647,56,TYPE_A,4.5,Seafood,Continental
1304706,1,104,2867,637.35,637.35,0,0,68.0,647,56,TYPE_A,4.5,Seafood,Continental
1480359,1,104,2760,243.53,243.53,0,0,94.0,647,56,TYPE_A,4.5,Other Snacks,Thai
1283353,1,104,1525,242.5,282.33,0,0,230.0,647,56,TYPE_A,4.5,Other Snacks,Thai
1272630,1,104,2704,243.5,282.33,0,0,107.0,647,56,TYPE_A,4.5,Other Snacks,Thai
1364371,1,104,2492,387.03,387.03,0,0,54.0,647,56,TYPE_A,4.5,Desert,Indian
1446445,1,104,1543,484.03,486.03,0,0,80.0,647,56,TYPE_A,4.5,Desert,Indian
1330135,1,104,2304,484.03,486.03,0,0,54.0,647,56,TYPE_A,4.5,Desert,Indian
1107194,2,104,1885,134.86,133.86,0,1,1108.0,647,56,TYPE_A,4.5,Beverages,Thai
1337828,2,104,1993,135.86,134.89,0,1,1189.0,647,56,TYPE_A,4.5,Beverages,Thai
1315894,2,104,2539,133.89,133.89,0,0,109.0,647,56,TYPE_A,4.5,Beverages,Thai
1461225,2,104,2139,340.5,437.53,0,0,41.0,647,56,TYPE_A,4.5,Beverages,Indian
1123392,2,104,2631,100.94,248.35,1,0,703.0,647,56,TYPE_A,4.5,Beverages,Indian
1231004,2,104,1248,97.03,245.41,1,0,393.0,647,56,TYPE_A,4.5,Beverages,Indian
